公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
300507,<a href='http://www.szse.cn/certificate/individual/index.html?code=300507' target='_blank'><u>苏奥传感</u></a>,江苏奥力威传感高科股份有限公司,"JIANGSU OLIVE SENSORS HIGH-TECH CO.,LTD",江苏省扬州高新技术产业开发区祥园路158号,300507,苏奥传感,2016-04-29,"122,232,000","57,407,325",,,,0,0,华东,江苏,扬州市,C 制造业,www.yos.net.cn
300508,<a href='http://www.szse.cn/certificate/individual/index.html?code=300508' target='_blank'><u>维宏股份</u></a>,上海维宏电子科技股份有限公司,"SHANGHAI WEIHONG ELECTRONIC TECHNOLOGY CO., LTD.",上海市闵行区联航路1588号1幢业务楼B509室,300508,维宏股份,2016-04-19,"90,912,000","23,753,423",,,,0,0,华东,上海,上海市,I 信息技术,www.weihong.com.cn
300509,<a href='http://www.szse.cn/certificate/individual/index.html?code=300509' target='_blank'><u>新美星</u></a>,江苏新美星包装机械股份有限公司,"Jiangsu Newamstar Packaging Machinery Co., Ltd.",江苏省张家港经济开发区南区（新泾东路）,300509,新美星,2016-04-25,"152,000,000","49,970,000",,,,0,0,华东,江苏,苏州市,C 制造业,www.newamstar.com
300510,<a href='http://www.szse.cn/certificate/individual/index.html?code=300510' target='_blank'><u>金冠电气</u></a>,吉林省金冠电气股份有限公司,"JILIN JINGUAN ELECTRIC CO.,LTD.",吉林省长春市双阳经济开发区延寿路4号,300510,金冠电气,2016-05-06,"291,362,449","78,408,166",,,,0,0,东北,吉林,长春市,C 制造业,www.jljgdq.cn
300511,<a href='http://www.szse.cn/certificate/individual/index.html?code=300511' target='_blank'><u>雪榕生物</u></a>,上海雪榕生物科技股份有限公司,"Shanghai Xuerong Biotechnology Co.,Ltd.",上海市奉贤区现代农业园区高丰路999号,300511,雪榕生物,2016-05-04,"434,245,000","232,079,063",,,,0,0,华东,上海,上海市,A 农林牧渔,www.xuerong.com
300512,<a href='http://www.szse.cn/certificate/individual/index.html?code=300512' target='_blank'><u>中亚股份</u></a>,杭州中亚机械股份有限公司,"HANGZHOU ZHONGYA MACHINERY CO., LTD.",浙江省杭州市拱墅区方家埭路189号,300512,中亚股份,2016-05-26,"270,000,000","77,824,921",,,,0,0,华东,浙江,杭州市,C 制造业,www.zhongyagroup.com
300513,<a href='http://www.szse.cn/certificate/individual/index.html?code=300513' target='_blank'><u>恒泰实达</u></a>,北京恒泰实达科技股份有限公司,"Beijing E-techstar Co.,Ltd",北京市海淀区保福寺A区世纪科贸大厦C座1501号,300513,恒泰实达,2016-05-30,"169,754,778","62,010,640",,,,0,0,华北,北京,北京市,I 信息技术,www.techstar.com.cn
300514,<a href='http://www.szse.cn/certificate/individual/index.html?code=300514' target='_blank'><u>友讯达</u></a>,深圳友讯达科技股份有限公司,"Shenzhen Friendcom Technology Development Co., Ltd.",广东省深圳市南山区桃源街道光前工业区十七栋六楼,300514,友讯达,2017-04-26,"200,000,000","90,320,000",,,,0,0,华南,广东,深圳市,C 制造业,www.friendcom.cn
300515,<a href='http://www.szse.cn/certificate/individual/index.html?code=300515' target='_blank'><u>三德科技</u></a>,湖南三德科技股份有限公司,"Hunan Sundy Science and Technology Co., Ltd",湖南省长沙高新开发区桐梓坡西路558号,300515,三德科技,2016-06-08,"200,000,000","91,002,450",,,,0,0,华中,湖南,长沙市,C 制造业,www.sandegroup.com
300516,<a href='http://www.szse.cn/certificate/individual/index.html?code=300516' target='_blank'><u>久之洋</u></a>,湖北久之洋红外系统股份有限公司,"Hubei Jiuzhiyang Infrared System Co., Ltd",湖北省武汉市江夏区庙山开发区明泽街9号,300516,久之洋,2016-06-02,"120,000,000","47,100,000",,,,0,0,华中,湖北,武汉市,C 制造业,www.hbjir.com
300517,<a href='http://www.szse.cn/certificate/individual/index.html?code=300517' target='_blank'><u>海波重科</u></a>,海波重型工程科技股份有限公司,"HAIBO HEAVY ENGINEERING SCIENCE AND TECHNOLOGY CO.,LTD",湖北省武汉市江夏区郑店街黄金桥工业园6号,300517,海波重科,2016-07-19,"106,854,000","40,975,000",,,,0,0,华中,湖北,武汉市,E 建筑业,www.haiod.com
300518,<a href='http://www.szse.cn/certificate/individual/index.html?code=300518' target='_blank'><u>盛讯达</u></a>,深圳市盛讯达科技股份有限公司,"Shenzhen Shengxunda Technology Co.,Ltd.",广东省深圳市福田区福田街道福安社区福华一路1号深圳大中华国际交易广场2501,300518,盛讯达,2016-06-24,"93,340,000","46,749,675",,,,0,0,华南,广东,深圳市,I 信息技术,www.gamexun.com
